sample_id,add_error,obj_id,instance_id,scene_id,is_valid
0,0.04333500429190725,20,20_15_20_39_20,0,True
1,0.006719453336618496,3,3_1_3_20_3,0,True
2,0.01740955666073812,14,14_42_14_82_14,0,True
3,0.005276767844007321,12,12_4_12_25_12,0,True
4,0.13779212158481072,11,11_0_11_20_11,0,True
5,0.02051195559203806,1,1_16_1_75_1,0,True
6,0.004903468544576459,3,3_60_3_73_3,0,True
7,0.010901971362615896,4,4_11_4_65_4,0,True
8,0.014662339271005676,10,10_3_10_77_10,0,True
9,0.005386412303158441,1,1_1_1_34_1,0,True
10,0.02171741713184586,11,11_48_11_71_11,0,True
11,0.02189507878964051,15,15_5_15_45_15,0,True
12,0.014259671704850974,16,16_3_16_22_16,0,True
13,0.01447142789985671,6,6_35_6_75_6,0,True
14,0.00905727399013123,10,10_29_10_54_10,0,True
15,0.012849921477503105,20,20_42_20_62_20,0,True
16,0.017458258622554516,18,18_24_18_44_18,0,True
17,0.0028541481329645863,13,13_12_13_24_13,0,True
18,0.03508658540349926,19,19_5_19_16_19,0,True
19,0.01274001138459835,5,5_10_5_21_5,0,True
20,0.004380199534923323,5,5_20_5_32_5,0,True
21,0.013477226292385455,6,6_41_6_52_6,0,True
22,0.006519640215327181,12,12_13_12_64_12,0,True
23,0.01687394948647622,9,9_18_9_64_9,0,True
24,0.006541983570372875,12,12_43_12_54_12,0,True
25,0.02625689695769446,20,20_24_20_66_20,0,True
26,0.013292673452713382,9,9_1_9_60_9,0,True
27,0.012566080504514014,16,16_28_16_49_16,0,True
28,0.02250453132767306,17,17_30_17_40_17,0,True
29,0.01794685687661355,18,18_66_18_76_18,0,True
30,0.10438119627946135,2,2_20_2_54_2,0,True
31,0.018793971881527764,15,15_49_15_75_15,0,True
32,0.014990928667574182,10,10_42_10_68_10,0,True
33,0.02331799571310342,11,11_12_11_64_11,0,True
34,0.016165983032741374,6,6_13_6_38_6,0,True
35,0.013268872235859812,4,4_41_4_52_4,0,True
36,0.005080298097771476,1,1_32_1_54_1,0,True
37,0.015552831008199463,21,21_66_21_79_21,0,True
38,0.047010625395238904,9,9_31_9_67_9,0,True
39,0.007233672805604069,2,2_0_2_23_2,0,True
40,0.0182003643508879,7,7_46_7_74_7,0,True
41,0.017026513550295906,16,16_34_16_46_16,0,True
42,0.0018103403696670493,18,18_26_18_69_18,0,True
43,0.011153152993334348,2,2_1_2_63_2,0,True
44,0.03385171568540687,17,17_23_17_63_17,0,True
45,0.03191896463694794,11,11_29_11_59_11,0,True
46,0.0448689196734424,15,15_1_15_47_15,0,True
47,0.03691467421412947,4,4_7_4_33_4,0,True
48,0.022565432425909214,8,8_38_8_68_8,0,True
49,0.0023197885515541684,12,12_5_12_19_12,0,True
50,0.0956965792746332,17,17_7_17_54_17,0,True
51,0.013542503536794863,4,4_4_4_59_4,0,True
52,0.015811580151964405,17,17_27_17_62_17,0,True
53,0.02068438491842527,1,1_15_1_43_1,0,True
54,0.008202723154997206,5,5_32_5_73_5,0,True
55,0.0052648631974785585,3,3_48_3_73_3,0,True
56,0.04576297392835813,15,15_1_15_61_15,0,True
57,0.0074506850820389835,10,10_8_10_69_10,0,True
58,0.0464728444975039,15,15_4_15_68_15,0,True
59,0.019563552950403202,5,5_13_5_38_5,0,True
60,0.033118119707110275,11,11_23_11_61_11,0,True
61,0.022263512463959755,17,17_3_17_49_17,0,True
62,0.019230457357096702,18,18_21_18_66_18,0,True
63,0.0309918834880896,8,8_4_8_30_8,0,True
64,0.009528011183324511,3,3_27_3_76_3,0,True
65,0.04728647550391462,17,17_55_17_70_17,0,True
66,0.005718508994111296,12,12_31_12_59_12,0,True
67,0.023808615239539116,19,19_14_19_62_19,0,True
68,0.015177012947217832,10,10_0_10_44_10,0,True
69,0.020635136435339246,10,10_22_10_53_10,0,True
70,0.011059702256499753,4,4_38_4_77_4,0,True
71,0.036391158957881066,10,10_10_10_49_10,0,True
72,0.025673065092820104,8,8_37_8_61_8,0,True
73,0.0342775906670317,18,18_1_18_28_18,0,True
74,0.025324644321243383,14,14_8_14_50_14,0,True
75,0.019732752080758892,19,19_9_19_57_19,0,True
76,0.013752365308397903,5,5_33_5_44_5,0,True
77,0.017936544851178304,10,10_3_10_24_10,0,True
78,0.0395608196779924,15,15_33_15_66_15,0,True
79,0.009794121937661741,4,4_21_4_44_4,0,True
